"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"10/2/2024","10/2/2024","10/3/2024","QQQ","QQQ 10/3/2024 Call $483.00","STC","1","$2.04","$203.95"
"10/2/2024","10/2/2024","10/3/2024","QQQ","QQQ 10/3/2024 Call $483.00","BTO","1","$2.25","($225.03)"
"10/2/2024","10/2/2024","10/3/2024","NVDA","NVDA 10/4/2024 Call $120.00","STC","1","$1.09","$108.95"
"10/2/2024","10/2/2024","10/3/2024","NVDA","NVDA 10/4/2024 Call $120.00","BTO","1","$1.30","($130.03)"
"10/2/2024","10/2/2024","10/3/2024","IWM","IWM 10/3/2024 Call $219.00","STC","1","$0.98","$97.95"
"10/2/2024","10/2/2024","10/3/2024","IWM","IWM 10/3/2024 Call $219.00","BTO","1","$1.14","($114.03)"
"10/2/2024","10/2/2024","10/3/2024","AVGO","AVGO 10/4/2024 Call $175.00","STC","1","$1.01","$100.95"
"10/2/2024","10/2/2024","10/3/2024","AVGO","AVGO 10/4/2024 Call $175.00","BTO","1","$1.18","($118.03)"
"10/1/2024","10/1/2024","10/2/2024","IWM","IWM 10/2/2024 Call $218.00","STC","1","$1.17","$116.95"
"10/1/2024","10/1/2024","10/2/2024","IWM","IWM 10/2/2024 Call $218.00","BTO","1","$1.29","($129.03)"
"10/1/2024","10/1/2024","10/1/2024","","External debit card transfer - account ending in 4760","DCF","","","$30.00"
"10/1/2024","10/1/2024","10/2/2024","QQQ","QQQ 10/2/2024 Call $483.00","STC","1","$1.50","$149.95"
"10/1/2024","10/1/2024","10/2/2024","QQQ","QQQ 10/2/2024 Call $483.00","BTO","1","$1.81","($181.03)"
"10/1/2024","10/1/2024","10/2/2024","GOOG","GOOG 10/4/2024 Put $165.00","STC","1","$1.34","$133.95"
"10/1/2024","10/1/2024","10/2/2024","QQQ","QQQ 10/2/2024 Put $478.00","STC","1","$2.48","$247.95"
"10/1/2024","10/1/2024","10/2/2024","QQQ","QQQ 10/2/2024 Put $478.00","BTO","1","$2.56","($256.03)"
"10/1/2024","10/1/2024","10/2/2024","GOOG","GOOG 10/4/2024 Put $165.00","BTO","1","$1.45","($145.03)"
"10/1/2024","10/1/2024","10/2/2024","GOOG","GOOG 10/4/2024 Put $165.00","STC","2","$1.22","$243.92"
"10/1/2024","10/1/2024","10/2/2024","QQQ","QQQ 10/1/2024 Put $478.00","STC","1","$0.93","$92.95"
"10/1/2024","10/1/2024","10/2/2024","QQQ","QQQ 10/1/2024 Put $478.00","BTO","1","$1.13","($113.03)"
"10/1/2024","10/1/2024","10/2/2024","GOOG","GOOG 10/4/2024 Put $165.00","BTO","2","$1.13","($226.06)"
"9/30/2024","9/30/2024","10/1/2024","GOOG","GOOG 10/4/2024 Put $162.50","STC","1","$0.62","$61.95"
"9/30/2024","9/30/2024","10/1/2024","GOOG","GOOG 10/4/2024 Put $162.50","BTO","1","$0.70","($70.03)"
"9/30/2024","9/30/2024","10/1/2024","AMZN","AMZN 10/4/2024 Call $187.50","STC","1","$1.70","$169.95"
"9/30/2024","9/30/2024","10/1/2024","AMZN","AMZN 10/4/2024 Call $187.50","BTO","1","$1.71","($171.03)"
"9/30/2024","9/30/2024","10/1/2024","AMZN","AMZN 10/4/2024 Call $190.00","STC","2","$0.69","$137.92"
"9/30/2024","9/30/2024","10/1/2024","AMZN","AMZN 10/4/2024 Call $190.00","BTO","2","$0.78","($156.06)"
"9/30/2024","9/30/2024","10/1/2024","XOM","XOM 10/4/2024 Call $117.00","STC","1","$1.19","$118.95"
"9/30/2024","9/30/2024","10/1/2024","XOM","XOM 10/4/2024 Call $117.00","BTO","1","$1.31","($131.03)"
"9/30/2024","9/30/2024","10/1/2024","SPY","SPY 10/1/2024 Call $573.00","STC","1","$1.10","$109.95"
"9/30/2024","9/30/2024","10/1/2024","SPY","SPY 10/1/2024 Call $573.00","BTO","1","$1.30","($130.03)"
"9/30/2024","9/30/2024","10/1/2024","XOM","XOM 10/4/2024 Call $117.00","STC","1","$1.00","$99.95"
"9/30/2024","9/30/2024","10/1/2024","XOM","XOM 10/4/2024 Call $117.00","STC","1","$1.10","$109.95"
"9/30/2024","9/30/2024","10/1/2024","XOM","XOM 10/4/2024 Call $117.00","STC","1","$1.12","$111.95"
"9/30/2024","9/30/2024","10/1/2024","IWM","IWM 10/1/2024 Call $222.00","STC","1","$0.84","$83.95"
"9/30/2024","9/30/2024","10/1/2024","XOM","XOM 10/4/2024 Call $117.00","BTO","1","$1.14","($114.03)"
"9/30/2024","9/30/2024","10/1/2024","XOM","XOM 10/4/2024 Call $117.00","BTO","1","$1.03","($103.03)"
"9/30/2024","9/30/2024","10/1/2024","XOM","XOM 10/4/2024 Call $117.00","BTO","1","$0.94","($94.03)"
"9/30/2024","9/30/2024","10/1/2024","IWM","IWM 10/1/2024 Call $222.00","BTO","1","$1.00","($100.03)"
"9/27/2024","9/27/2024","9/30/2024","NVDA","NVDA 9/27/2024 Call $120.00","STC","3","$0.93","$278.89"
"9/27/2024","9/27/2024","9/30/2024","NVDA","NVDA 9/27/2024 Call $120.00","BTO","2","$1.19","($238.06)"
"9/27/2024","9/27/2024","9/30/2024","NVDA","NVDA 9/27/2024 Call $120.00","BTO","1","$1.19","($119.03)"
"9/27/2024","9/27/2024","9/30/2024","GOOG","GOOG 10/4/2024 Put $165.00","STC","1","$1.71","$170.95"
"9/27/2024","9/27/2024","9/30/2024","GOOG","GOOG 10/4/2024 Put $165.00","BTO","1","$1.59","($159.03)"
"9/27/2024","9/27/2024","9/30/2024","IWM","IWM 9/30/2024 Call $222.00","STC","1","$1.48","$147.95"
"9/27/2024","9/27/2024","9/30/2024","IWM","IWM 9/30/2024 Call $222.00","STC","1","$1.48","$147.95"
"9/27/2024","9/27/2024","9/30/2024","GOOG","GOOG 10/4/2024 Call $167.50","STC","1","$1.79","$178.95"
"9/27/2024","9/27/2024","9/30/2024","IWM","IWM 9/30/2024 Call $222.00","BTO","1","$1.43","($143.03)"
"9/27/2024","9/27/2024","9/30/2024","IWM","IWM 9/30/2024 Call $222.00","BTO","1","$1.27","($127.03)"
"9/27/2024","9/27/2024","9/30/2024","GOOG","GOOG 10/4/2024 Call $167.50","STC","1","$1.65","$164.95"
"9/27/2024","9/27/2024","9/30/2024","GOOG","GOOG 10/4/2024 Call $167.50","BTO","1","$1.37","($137.03)"
"9/27/2024","9/27/2024","9/30/2024","GOOG","GOOG 10/4/2024 Call $167.50","BTO","1","$1.38","($138.03)"
"9/26/2024","9/26/2024","9/27/2024","QQQ","QQQ 9/26/2024 Call $489.00","STC","1","$0.80","$79.95"
"9/26/2024","9/26/2024","9/27/2024","QQQ","QQQ 9/26/2024 Call $489.00","BTO","1","$0.36","($36.03)"
"9/26/2024","9/26/2024","9/27/2024","QQQ","QQQ 9/27/2024 Call $490.00","STC","1","$1.34","$133.95"
"9/26/2024","9/26/2024","9/27/2024","QQQ","QQQ 9/27/2024 Call $490.00","STC","1","$1.34","$133.95"
"9/26/2024","9/26/2024","9/27/2024","QQQ","QQQ 9/27/2024 Call $490.00","BTO","1","$1.34","($134.03)"
"9/26/2024","9/26/2024","9/27/2024","QQQ","QQQ 9/27/2024 Call $490.00","BTO","1","$1.27","($127.03)"
"9/26/2024","9/26/2024","9/27/2024","QQQ","QQQ 9/27/2024 Call $490.00","STC","3","$1.43","$428.88"
"9/26/2024","9/26/2024","9/27/2024","QQQ","QQQ 9/27/2024 Call $490.00","BTO","1","$1.64","($164.03)"
"9/26/2024","9/26/2024","9/27/2024","QQQ","QQQ 9/27/2024 Call $490.00","BTO","2","$1.48","($296.06)"
"9/26/2024","9/26/2024","9/27/2024","QQQ","QQQ 9/27/2024 Put $490.00","STC","1","$2.83","$282.95"
"9/26/2024","9/26/2024","9/27/2024","QQQ","QQQ 9/27/2024 Put $490.00","BTO","1","$1.84","($184.03)"
"9/25/2024","9/25/2024","9/26/2024","SPY","SPY 9/26/2024 Put $569.00","STC","1","$1.30","$129.95"
"9/25/2024","9/25/2024","9/26/2024","SPY","SPY 9/26/2024 Put $569.00","BTO","1","$1.37","($137.03)"
"9/25/2024","9/25/2024","9/26/2024","NVDA","NVDA 9/27/2024 Put $123.00","STC","1","$1.54","$153.95"
"9/25/2024","9/25/2024","9/26/2024","NVDA","NVDA 9/27/2024 Put $123.00","BTO","1","$1.63","($163.03)"
"9/25/2024","9/25/2024","9/26/2024","QQQ","QQQ 9/26/2024 Call $488.00","STC","1","$1.28","$127.95"
"9/25/2024","9/25/2024","9/26/2024","QQQ","QQQ 9/26/2024 Call $488.00","BTO","1","$1.58","($158.03)"
"9/25/2024","9/25/2024","9/26/2024","QQQ","QQQ 9/26/2024 Call $489.00","STC","2","$1.13","$225.92"
"9/25/2024","9/25/2024","9/26/2024","QQQ","QQQ 9/26/2024 Call $489.00","BTO","1","$1.29","($129.03)"
"9/25/2024","9/25/2024","9/26/2024","QQQ","QQQ 9/26/2024 Call $489.00","BTO","1","$1.21","($121.03)"
"9/25/2024","9/25/2024","9/26/2024","QQQ","QQQ 9/26/2024 Call $489.00","STC","2","$1.09","$217.92"
"9/25/2024","9/25/2024","9/26/2024","QQQ","QQQ 9/26/2024 Call $489.00","BTO","1","$1.41","($141.03)"
"9/25/2024","9/25/2024","9/26/2024","QQQ","QQQ 9/26/2024 Call $489.00","BTO","1","$1.41","($141.03)"
"9/24/2024","9/24/2024","9/25/2024","QQQ","QQQ 9/25/2024 Call $485.00","STC","1","$1.73","$172.95"
"9/24/2024","9/24/2024","9/25/2024","QQQ","QQQ 9/25/2024 Call $485.00","BTO","1","$1.45","($145.03)"
"9/24/2024","9/24/2024","9/25/2024","QQQ","QQQ 9/25/2024 Call $483.00","STC","1","$2.22","$221.95"
"9/24/2024","9/24/2024","9/25/2024","QQQ","QQQ 9/25/2024 Call $483.00","STC","1","$2.15","$214.95"
"9/24/2024","9/24/2024","9/25/2024","QQQ","QQQ 9/25/2024 Call $483.00","BTO","2","$1.57","($314.06)"
"9/24/2024","9/24/2024","9/25/2024","AMZN","AMZN 9/27/2024 Put $187.50","STC","2","$0.77","$153.92"
"9/24/2024","9/24/2024","9/25/2024","AMZN","AMZN 9/27/2024 Put $187.50","BTO","1","$0.92","($92.03)"
"9/24/2024","9/24/2024","9/25/2024","AMZN","AMZN 9/27/2024 Put $187.50","BTO","1","$0.92","($92.03)"
"9/24/2024","9/24/2024","9/25/2024","AMZN","AMZN 9/27/2024 Put $190.00","STC","1","$1.50","$149.95"
"9/24/2024","9/24/2024","9/25/2024","AMZN","AMZN 9/27/2024 Put $190.00","STC","1","$1.47","$146.95"
"9/24/2024","9/24/2024","9/25/2024","AMZN","AMZN 9/27/2024 Put $190.00","BTO","1","$1.24","($124.03)"
"9/24/2024","9/24/2024","9/25/2024","AMZN","AMZN 9/27/2024 Put $190.00","BTO","1","$1.24","($124.03)"
"9/23/2024","9/23/2024","9/24/2024","SPY","SPY 9/24/2024 Call $569.00","STC","1","$1.41","$140.95"
"9/23/2024","9/23/2024","9/24/2024","SPY","SPY 9/24/2024 Call $569.00","STC","1","$1.41","$140.95"
"9/23/2024","9/23/2024","9/24/2024","SPY","SPY 9/24/2024 Call $569.00","BTO","1","$1.48","($148.03)"
"9/23/2024","9/23/2024","9/24/2024","SPY","SPY 9/24/2024 Call $569.00","BTO","1","$1.48","($148.03)"
"9/23/2024","9/23/2024","9/24/2024","SPY","SPY 9/24/2024 Call $571.00","STC","2","$0.81","$161.92"
"9/23/2024","9/23/2024","9/24/2024","SPY","SPY 9/24/2024 Call $571.00","BTO","1","$1.14","($114.03)"
"9/23/2024","9/23/2024","9/24/2024","SPY","SPY 9/24/2024 Call $571.00","BTO","1","$1.14","($114.03)"
"9/20/2024","9/20/2024","9/23/2024","SPY","SPY 9/23/2024 Call $569.00","STC","1","$1.27","$126.95"
"9/20/2024","9/20/2024","9/23/2024","SPY","SPY 9/23/2024 Call $569.00","BTO","1","$1.39","($139.03)"
"9/20/2024","9/20/2024","9/23/2024","QQQ","QQQ 9/23/2024 Call $482.00","STC","1","$1.79","$178.95"
"9/20/2024","9/20/2024","9/23/2024","QQQ","QQQ 9/23/2024 Call $482.00","STC","1","$1.86","$185.95"
"9/20/2024","9/20/2024","9/23/2024","QQQ","QQQ 9/23/2024 Call $482.00","BTO","1","$1.74","($174.03)"
"9/20/2024","9/20/2024","9/23/2024","QQQ","QQQ 9/23/2024 Call $482.00","BTO","1","$1.74","($174.03)"
"9/20/2024","9/20/2024","9/23/2024","SPY","SPY 9/23/2024 Call $568.00","STC","1","$1.29","$128.95"
"9/20/2024","9/20/2024","9/23/2024","SPY","SPY 9/23/2024 Call $568.00","STC","1","$1.51","$150.95"
"9/20/2024","9/20/2024","9/23/2024","SPY","SPY 9/23/2024 Call $568.00","BTO","2","$1.36","($272.06)"
"9/20/2024","9/20/2024","9/23/2024","SPY","SPY 9/23/2024 Put $566.00","STC","1","$2.24","$223.95"
"9/20/2024","9/20/2024","9/23/2024","SPY","SPY 9/23/2024 Put $566.00","BTO","1","$1.94","($194.03)"
"9/19/2024","9/19/2024","9/20/2024","QQQ","QQQ 9/20/2024 Call $486.00","STC","1","$1.77","$176.95"
"9/19/2024","9/19/2024","9/20/2024","QQQ","QQQ 9/19/2024 Put $482.00","STC","1","$1.11","$110.95"
"9/19/2024","9/19/2024","9/20/2024","QQQ","QQQ 9/19/2024 Put $482.00","BTO","1","$1.28","($128.03)"
"9/19/2024","9/19/2024","9/20/2024","QQQ","QQQ 9/20/2024 Call $486.00","BTO","1","$2.33","($233.03)"
"9/19/2024","9/19/2024","9/20/2024","SPY","SPY 9/19/2024 Call $571.00","STC","2","$1.05","$209.92"
"9/19/2024","9/19/2024","9/20/2024","SPY","SPY 9/19/2024 Call $571.00","BTO","2","$1.18","($236.06)"
"9/19/2024","9/19/2024","9/20/2024","SPY","SPY 9/19/2024 Call $570.00","STC","2","$1.70","$339.92"
"9/19/2024","9/19/2024","9/20/2024","SPY","SPY 9/19/2024 Call $570.00","BTO","1","$1.48","($148.03)"
"9/19/2024","9/19/2024","9/20/2024","SPY","SPY 9/19/2024 Call $570.00","BTO","1","$1.28","($128.03)"
"9/19/2024","9/19/2024","9/20/2024","SPY","SPY 9/19/2024 Put $567.00","STC","1","$0.98","$97.95"
"9/19/2024","9/19/2024","9/20/2024","SPY","SPY 9/19/2024 Put $567.00","BTO","1","$1.27","($127.03)"
"9/18/2024","9/18/2024","9/19/2024","SPY","SPY 9/19/2024 Put $560.00","STC","1","$1.62","$161.95"
"9/18/2024","9/18/2024","9/19/2024","SPY","SPY 9/19/2024 Put $560.00","BTO","1","$1.46","($146.03)"
"9/18/2024","9/18/2024","9/18/2024","","External debit card transfer - account ending in 4760","DCF","","","$30.00"
"9/18/2024","9/18/2024","9/19/2024","TSLA","TSLA 9/20/2024 Call $240.00","STC","1","$1.06","$105.95"
"9/18/2024","9/18/2024","9/19/2024","TSLA","TSLA 9/20/2024 Call $240.00","BTO","1","$2.13","($213.03)"
"9/18/2024","9/18/2024","9/19/2024","SPY","SPY 9/30/2024 Put $562.00","STC","1","$5.01","$500.94"
"9/18/2024","9/18/2024","9/19/2024","SPY","SPY 9/30/2024 Put $562.00","BTO","1","$5.51","($551.03)"
"9/18/2024","9/18/2024","9/19/2024","SPY","SPY 9/30/2024 Call $570.00","STC","1","$2.50","$249.95"
"9/18/2024","9/18/2024","9/19/2024","SPY","SPY 9/30/2024 Call $570.00","BTO","1","$2.25","($225.03)"
"9/17/2024","9/17/2024","9/18/2024","QQQ","QQQ 9/17/2024 Call $474.00","STC","1","$0.68","$67.95"
"9/17/2024","9/17/2024","9/18/2024","QQQ","QQQ 9/17/2024 Call $474.00","BTO","1","$0.84","($84.03)"
"9/17/2024","9/17/2024","9/18/2024","SPY","SPY 9/17/2024 Put $562.00","STC","2","$1.24","$247.92"
"9/17/2024","9/17/2024","9/18/2024","SPY","SPY 9/17/2024 Put $562.00","BTO","2","$1.13","($226.06)"
"9/17/2024","9/17/2024","9/18/2024","SPY","SPY 9/17/2024 Put $564.00","STC","1","$1.46","$145.95"
"9/17/2024","9/17/2024","9/18/2024","SPY","SPY 9/17/2024 Put $564.00","BTO","1","$1.07","($107.03)"
"9/17/2024","9/17/2024","9/18/2024","SPY","SPY 9/17/2024 Call $566.00","STC","2","$0.70","$139.92"
"9/17/2024","9/17/2024","9/18/2024","SPY","SPY 9/17/2024 Call $566.00","BTO","1","$1.41","($141.03)"
"9/17/2024","9/17/2024","9/18/2024","SPY","SPY 9/17/2024 Call $566.00","STC","2","$0.86","$171.92"
"9/17/2024","9/17/2024","9/18/2024","SPY","SPY 9/17/2024 Call $566.00","BTO","1","$1.24","($124.03)"
"9/17/2024","9/17/2024","9/18/2024","SPY","SPY 9/17/2024 Call $566.00","BTO","2","$1.10","($220.06)"
"9/17/2024","9/17/2024","9/18/2024","QQQ","QQQ 9/17/2024 Put $474.00","STC","1","$1.15","$114.95"
"9/17/2024","9/17/2024","9/18/2024","QQQ","QQQ 9/17/2024 Put $474.00","BTO","1","$1.37","($137.03)"
"9/17/2024","9/17/2024","9/18/2024","SPY","SPY 9/17/2024 Call $566.00","STC","3","$0.67","$200.89"
"9/17/2024","9/17/2024","9/18/2024","SPY","SPY 9/17/2024 Call $566.00","BTO","1","$1.00","($100.03)"
"9/17/2024","9/17/2024","9/18/2024","SPY","SPY 9/17/2024 Call $566.00","BTO","2","$1.06","($212.06)"
"9/16/2024","9/16/2024","9/17/2024","QQQ","QQQ 9/17/2024 Call $472.00","STC","1","$2.09","$208.95"
"9/16/2024","9/16/2024","9/17/2024","QQQ","QQQ 9/17/2024 Call $472.00","BTO","1","$2.11","($211.03)"
